file_name,page,region,station_code,station_name,coordinates
dsi_2020.pdf,869,22. Dogu Karadeniz Havzasi,D22A106,BATLAMA D. ÇUKURKÖY,"38°18'30"" Doğu - 40°50'36"" Kuzey"
dsi_2020.pdf,870,22. Dogu Karadeniz Havzasi,D22A108,HEMŞİN D. BAŞKÖY,"40°53'22"" Doğu - 41°4'55"" Kuzey"
dsi_2020.pdf,872,22. Dogu Karadeniz Havzasi,D22A113,KUŞTUL D. MEYVECİK,"39°42'42"" Doğu - 40°50'30"" Kuzey"
dsi_2020.pdf,878,22. Dogu Karadeniz Havzasi,D22A131,ŞAİRLER D. ÇAYELİ,"40°43'34"" Doğu - 41°4'55"" Kuzey"
dsi_2020.pdf,879,22. Dogu Karadeniz Havzasi,D22A132,BEYAZSU BEYAZSU ADALAR,"40°43'10"" Doğu - 41°3'46"" Kuzey"
dsi_2020.pdf,882,22. Dogu Karadeniz Havzasi,D22A136,ÇÖMLEKCİ D. HAYDARLI,"38°57'58"" Doğu - 41°1'20"" Kuzey"
dsi_2020.pdf,883,22. Dogu Karadeniz Havzasi,D22A138,KOTİL Ç. DİBEKLİ,"39°22'4"" Doğu - 40°30'4"" Kuzey"
dsi_2020.pdf,889,22. Dogu Karadeniz Havzasi,D22A148,MAÇKA D. YAYLABAŞI,"39°27'40"" Doğu - 40°46'52"" Kuzey"
dsi_2020.pdf,897,22. Dogu Karadeniz Havzasi,D22A154,SÖĞÜTLÜ D. ŞİNIK,"39°30'9"" Doğu - 40°57'4"" Kuzey"
dsi_2020.pdf,898,22. Dogu Karadeniz Havzasi,D22A156,HARŞİT Ç. YENİYOL,"39°37'40"" Doğu - 40°24'7"" Kuzey"
dsi_2020.pdf,901,22. Dogu Karadeniz Havzasi,D22A159,EĞRİDERE ÇAKMAK BARAJI GİRİŞ,"36°33'34"" Doğu - 41°4'31"" Kuzey"
dsi_2020.pdf,904,22. Dogu Karadeniz Havzasi,E22A002,KARA DERE AĞNAS,"40°0'25"" Doğu - 40°50'58"" Kuzey"
dsi_2020.pdf,905,22. Dogu Karadeniz Havzasi,E22A015,ÇAMLIK DERE DEREKÖY,"40°35'52"" Doğu - 40°43'44"" Kuzey"
dsi_2020.pdf,906,22. Dogu Karadeniz Havzasi,E22A033,TOZKÖY DERESİ TOZKÖY,"40°34'44"" Doğu - 40°39'57"" Kuzey"
dsi_2020.pdf,908,22. Dogu Karadeniz Havzasi,E22A053,PAZARSUYU EMECAN,"38°10'32"" Doğu - 40°55'37"" Kuzey"
dsi_2020.pdf,909,22. Dogu Karadeniz Havzasi,E22A054,AKÇAY DURAKLI,"37°8'50"" Doğu - 41°6'38"" Kuzey"
dsi_2020.pdf,910,22. Dogu Karadeniz Havzasi,E22A055,ÇİT DERESİ TORUL,"39°17'32"" Doğu - 40°32'31"" Kuzey"
dsi_2020.pdf,911,22. Dogu Karadeniz Havzasi,E22A062,MERT IRMAĞI ÇORAK,"36°16'48"" Doğu - 41°14'29"" Kuzey"
dsi_2020.pdf,912,22. Dogu Karadeniz Havzasi,E22A063,TURNASUYU KAPÇULLU,"38°0'7"" Doğu - 40°57'19"" Kuzey"
dsi_2020.pdf,913,22. Dogu Karadeniz Havzasi,E22A065,ELEKÇİ DERESİ BOZDAĞI,"37°26'10"" Doğu - 40°59'18"" Kuzey"
dsi_2020.pdf,914,22. Dogu Karadeniz Havzasi,E22A066,CEVİZDERE DÜZKÖY,"37°18'18"" Doğu - 41°3'37"" Kuzey"
dsi_2020.pdf,915,22. Dogu Karadeniz Havzasi,E22A067,SÜTLÜCE HODİGOR ÇAYI,"41°0'33"" Doğu - 41°2'22"" Kuzey"
dsi_2020.pdf,917,22. Dogu Karadeniz Havzasi,E22A070,KÜÇÜKDERE Ç. ÇİMENLİ,"40°4'14"" Doğu - 40°51'1"" Kuzey"
dsi_2020.pdf,918,22. Dogu Karadeniz Havzasi,E22A071,CURA Ç. CURİ,"37°12'5"" Doğu - 41°6'57"" Kuzey"
dsi_2020.pdf,1000,22. Dogu Karadeniz Havzasi,D22A130,POŞUT D. POŞUTTEPE,"39°25'58"" Doğu - 41°1'55"" Kuzey"
dsi_2020.pdf,1001,22. Dogu Karadeniz Havzasi,E22A047,MELET Ç. GOCALLI KÖPRÜSÜ,"41°56'46"" Doğu - 40°29'52"" Kuzey"
